Product,Size,Connectivity,Storage,Color,Glass,ApplePartNumber,JAN
iPad (A16),"11""",Wi‑Fi,128GB,シルバー,,MD3Y4J/A,4549995560077
iPad (A16),"11""",Wi‑Fi,128GB,ブルー,,MD4A4J/A,4549995560084
iPad (A16),"11""",Wi‑Fi,128GB,イエロー,,MD4D4J/A,4549995560091
iPad (A16),"11""",Wi‑Fi,128GB,ピンク,,MD4E4J/A,4549995560107
iPad (A16),"11""",Wi‑Fi,256GB,シルバー,,MD4G4J/A,4549995560114
iPad (A16),"11""",Wi‑Fi,256GB,ブルー,,MD4H4J/A,4549995560121
iPad (A16),"11""",Wi‑Fi,256GB,イエロー,,MD4J4J/A,4549995560138
iPad (A16),"11""",Wi‑Fi,256GB,ピンク,,MD4P4J/A,4549995560145
iPad (A16),"11""",Wi‑Fi,512GB,シルバー,,MD4Q4J/A,4549995560152
iPad (A16),"11""",Wi‑Fi,512GB,ブルー,,MD4Y4J/A,4549995560169
iPad (A16),"11""",Wi‑Fi,512GB,イエロー,,MD5A4J/A,4549995560176
iPad (A16),"11""",Wi‑Fi,512GB,ピンク,,MD5C4J/A,4549995560183
iPad (A16),"11""",Wi‑Fi + Cellular,128GB,シルバー,,MD7F4J/A,4549995560848
iPad (A16),"11""",Wi‑Fi + Cellular,128GB,ブルー,,MD7G4J/A,4549995560886
iPad (A16),"11""",Wi‑Fi + Cellular,128GB,イエロー,,MD7H4J/A,4549995560923
iPad (A16),"11""",Wi‑Fi + Cellular,128GB,ピンク,,MD7J4J/A,4549995560961
iPad (A16),"11""",Wi‑Fi + Cellular,256GB,シルバー,,MD7K4J/A,4549995561005
iPad (A16),"11""",Wi‑Fi + Cellular,256GB,ブルー,,MD7L4J/A,4549995561043
iPad (A16),"11""",Wi‑Fi + Cellular,256GB,イエロー,,MD7M4J/A,4549995561081
iPad (A16),"11""",Wi‑Fi + Cellular,256GB,ピンク,,MD7N4J/A,4549995561128
iPad (A16),"11""",Wi‑Fi + Cellular,512GB,シルバー,,MD7P4J/A,4549995561166
iPad (A16),"11""",Wi‑Fi + Cellular,512GB,ブルー,,MD7Q4J/A,4549995561203
iPad (A16),"11""",Wi‑Fi + Cellular,512GB,イエロー,,MD7R4J/A,4549995561241
iPad (A16),"11""",Wi‑Fi + Cellular,512GB,ピンク,,MD7T4J/A,4549995561289
iPad mini (A17 Pro),"8.3""",Wi‑Fi,128GB,スペースグレイ,,MXN63J/A,4549995526486
iPad mini (A17 Pro),"8.3""",Wi‑Fi,128GB,ブルー,,MXN73J/A,4549995526493
iPad mini (A17 Pro),"8.3""",Wi‑Fi,128GB,スターライト,,MXN83J/A,4549995526509
iPad mini (A17 Pro),"8.3""",Wi‑Fi,128GB,パープル,,MXN93J/A,4549995526516
iPad mini (A17 Pro),"8.3""",Wi‑Fi,256GB,スペースグレイ,,MXNA3J/A,4549995526523
iPad mini (A17 Pro),"8.3""",Wi‑Fi,256GB,ブルー,,MXNC3J/A,4549995526530
iPad mini (A17 Pro),"8.3""",Wi‑Fi,256GB,スターライト,,MXND3J/A,4549995526547
iPad mini (A17 Pro),"8.3""",Wi‑Fi,256GB,パープル,,MXNE3J/A,4549995526554
iPad mini (A17 Pro),"8.3""",Wi‑Fi,512GB,スペースグレイ,,MYGY3J/A,4549995530537
iPad mini (A17 Pro),"8.3""",Wi‑Fi,512GB,ブルー,,MYH13J/A,4549995530544
iPad mini (A17 Pro),"8.3""",Wi‑Fi,512GB,スターライト,,MYH23J/A,4549995530551
iPad mini (A17 Pro),"8.3""",Wi‑Fi,512GB,パープル,,MYH33J/A,4549995530568
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,128GB,スペースグレイ,,MXPN3J/A,4549995526769
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,128GB,ブルー,,MXPP3J/A,4549995526776
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,128GB,スターライト,,MXPQ3J/A,4549995526783
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,128GB,パープル,,MXPR3J/A,4549995526790
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,256GB,スペースグレイ,,MXPT3J/A,4549995526806
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,256GB,ブルー,,MXPW3J/A,4549995526813
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,256GB,スターライト,,MXPX3J/A,4549995526820
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,256GB,パープル,,MXPY3J/A,4549995526837
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,512GB,スペースグレイ,,MYHC3J/A,4549995530698
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,512GB,ブルー,,MYHD3J/A,4549995530704
iPad mini (A17 Pro),"8.3""",Wi‑Fi + Cellular,512GB,スターライト,,MYHE3J/A,4549995530711
