カテゴリ,製品,発売日,通信,ケースサイズ(mm),ケース素材,ケースカラー,バンド種類,バンドカラー,バンドサイズ,手首サイズ目安,Apple 部品番号(SKU),JAN,出典(型番/JAN)
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,ジェットブラック,スポーツバンド,ブラック,S / M,130-180mm,MEQT4J/A,4549995623345,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,ジェットブラック,スポーツバンド,ブラック,M / L,150-200mm,MEQU4J/A,4549995622720,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,スペースグレイ,スポーツバンド,ブラック,S / M,130-180mm,MEQW4J/A,4549995622768,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,スペースグレイ,スポーツバンド,ブラック,M / L,150-200mm,MEQX4J/A,4549995622782,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,S / M,130-180mm,MEU04J/A,4549995622829,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,M / L,150-200mm,MEU44J/A,4549995622843,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,シルバー,スポーツバンド,パープルフォグ,S / M,130-180mm,MEU64J/A,4549995622881,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,シルバー,スポーツバンド,パープルフォグ,M / L,150-200mm,MEU74J/A,4549995622904,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,ジェットブラック,スポーツバンド,ブラック,S / M,130-180mm,MEUW4J/A,4549995622942,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,ジェットブラック,スポーツバンド,ブラック,M / L,150-200mm,MEUX4J/A,4549995622966,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,スペースグレイ,スポーツバンド,ブラック,S / M,130-180mm,MEV04J/A,4549995623000,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,スペースグレイ,スポーツバンド,ブラック,M / L,150-200mm,MEV44J/A,4549995623024,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,S / M,130-180mm,MEV64J/A,4549995623062,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,M / L,150-200mm,MEV74J/A,4549995623086,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,シルバー,スポーツバンド,パープルフォグ,S / M,130-180mm,MEV94J/A,4549995623123,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,シルバー,スポーツバンド,パープルフォグ,M / L,150-200mm,MEVA4J/A,4549995623147,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,ジェットブラック,スポーツバンド,ブラック,S / M,130-180mm,MF834J/A,4549995625837,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,ジェットブラック,スポーツバンド,ブラック,M / L,150-200mm,MF854J/A,4549995625851,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,スペースグレイ,スポーツバンド,ブラック,S / M,130-180mm,MF8A4J/A,4549995625899,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,スペースグレイ,スポーツバンド,ブラック,M / L,150-200mm,MF8C4J/A,4549995625912,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,S / M,130-180mm,MF8E4J/A,4549995625950,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,M / L,150-200mm,MF8F4J/A,4549995625974,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,シルバー,スポーツバンド,パープルフォグ,S / M,130-180mm,MF8H4J/A,4549995626018,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,シルバー,スポーツバンド,パープルフォグ,M / L,150-200mm,MF8J4J/A,4549995626032,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,ジェットブラック,スポーツバンド,ブラック,S / M,130-180mm,MFC24J/A,4549995626599,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,ジェットブラック,スポーツバンド,ブラック,M / L,150-200mm,MFC44J/A,4549995626636,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,スペースグレイ,スポーツバンド,ブラック,S / M,130-180mm,MFC94J/A,4549995626698,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,スペースグレイ,スポーツバンド,ブラック,M / L,150-200mm,MFCA4J/A,4549995626711,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,S / M,130-180mm,MFCG4J/A,4549995626759,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,M / L,150-200mm,MFCJ4J/A,4549995626773,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,シルバー,スポーツバンド,パープルフォグ,S / M,130-180mm,MFCP4J/A,4549995626810,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,シルバー,スポーツバンド,パープルフォグ,M / L,150-200mm,MFCR4J/A,4549995626834,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,ナチュラル,スポーツバンド,ストーングレイ,S / M,130-180mm,MF8M4J/A,4549995626070,https://www.applejan.com/apple-watch/s11-cel-42-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,ナチュラル,スポーツバンド,ストーングレイ,M / L,150-200mm,MF8N4J/A,4549995626094,https://www.applejan.com/apple-watch/s11-cel-42-titanium
